"","animalN","name","DOB","species","breed","color","gender","licenseN","licenseStatus","statusDT","licenseType","licenseIssuer","licenseCost","licenseLength","expireD","renewal","rabiesVac","vacDate","reVacD","provider"
"10287","A19234548","Missy Moose","8/26/2010","Dog","German Shepherd / Mix","Sable","Yes / Female","1856","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10290","A19234623","Allie Meadow","2/25/2007","Dog","German Shepherd / Mix","Black / Tan","Yes / Female","1589","Inactive","8/24/2013 3:41:30 PM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10293","A19238749","Lola","2/26/2006","Dog","Maltese / Mix","White","Yes / Female","1977","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10296","A19238849","Chloe","7/28/2000","Dog","Retriever, Labrador / Mix","Black","No / Female","1980","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10299","A19239010","Zoe","2/26/2012","Dog","Dachshund, Standard Smooth Haired / Mix","Black / White","No / Female","1988","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10302","A19239385","Nico","2/26/2009","Dog","Shih Tzu / Mix","Black / White","Yes / Female","1999","Inactive","1/14/2014 11:58:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10305","A17147247","Coby","9/5/2002","Dog","Poodle, Miniature / Mix","Grey","Yes / Male","5648","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10308","A16935349","Taffy","8/9/2010","Dog","Chihuahua, Short Coat / Mix","Brown","Yes / Male","5416","Inactive","7/8/2013 6:55:43 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10311","A16665931","Astro","7/8/2010","Dog","Retriever, Golden / Mix","Tan","Yes / Male","5253","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10314","A16742240","Fiddy Lucas","7/17/2004","Dog","Terrier, Pit Bull","White / Chestnut","Yes / Male","5259","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10317","A16598779","Bailey","6/29/2009","Dog","Terrier, Pit Bull / Mix","Brown / White","Yes / Male","5220","Inactive","5/13/2014 10:52:20 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10320","A16279085","chico","5/24/2004","Dog","Shih Tzu","Black / White","No / Male","5036","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10323","A16052742","Bella","10/15/2010","Dog","Poodle, Miniature / Mix","Brown","Yes / Female","4734","Inactive","12/24/2014 10:19:58 AM","Dog License S/N","DC","$15.00","","6/30/2012","No","LIC Rabies","9/22/2014","9/22/2017",""
"10326","A16456431","Blanket","6/14/2010","Dog","Shih Tzu / Mix","Black / White","Yes / Female","5171","Inactive","7/5/2013 9:46:57 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","LIC Rabies","3/10/2014","3/10/2017",""
"10329","A16927606","Belle","8/8/2009","Dog","Retriever, Golden / Poodle, Standard","Blond / Red","Yes / Female","5468","Inactive","8/8/2014 1:48:59 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","LIC Rabies","11/8/2013","11/8/2016",""
"10332","A17172725","Misha","9/8/2010","Dog","Samoyed / Mix","White","Yes / Male","5650","Inactive","4/25/2014 9:25:57 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10335","A19700751","Sasha","4/21/2005","Dog","Shepherd / Mix","Black / Tan","Yes / Female","4312","Expired","4/27/2016 1:00:00 AM","Dog License S/N","WHS-WARL","$15.00","","6/30/2013","No","","","",""
"10338","A19700865","Gavin","4/21/2008","Dog","Retriever, Labrador / Mix","Cream / White","Yes / Male","5513","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10341","A19114093","Abbey Rose","1/9/2009","Dog","Terrier, Cairn / Mix","White / Black","Yes / Female","0674","Inactive","2/12/2014 11:24:34 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10344","A19136653","Gracie","","Dog","Beagle / Mix","Brown / Black","Yes / Unknown","1053","Inactive","4/24/2014 2:02:13 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10347","A19559981","Waldo","9/3/2008","Dog","Pug / Mix","Fawn","Yes / Male","2052","Inactive","2/7/2014 12:25:57 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","9/14/2013","9/14/2016",""
"10350","A19442736","Bonny","6/19/1999","Dog","Terrier, Jack Russell","White / Tan","Yes / Female","2353","Inactive","6/26/2014 11:36:26 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","11/12/2013","11/12/2016",""
"10353","A19649593","Jordi","3/1/2007","Dog","Terrier, Jack Russell","White / Black","Yes / Male","3254","Inactive","1/2/2014 3:39:53 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","5/30/2014","5/30/2017",""
"10356","A19485878","Sage","1/12/2008","Dog","Basenji","Tan","No / Female","0346","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10359","A19486369","Oskar","3/26/2008","Dog","Terrier, Pit Bull / Mix","White / Brown","Yes / Male","1809","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10362","A19485937","Skittles","2/10/2011","Dog","Border Collie","Black / White","Yes / Female","0359","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10365","A19555493","Layla","4/1/2010","Dog","German Shepherd / Mix","Black / Brown","Yes / Female","2140","Cancelled (No longer owns)","5/28/2013 12:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10368","A19555559","Calvin","4/1/2005","Dog","Beagle / Terrier","Brown / White","Yes / Male","3117","Inactive","2/11/2014 11:23:25 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10371","A16338231","Elijah","6/9/2003","Dog","Chihuahua, Short Coat","Fawn / Cream","Yes / Male","5121","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10374","A16237052","Trooper","5/19/2011","Dog","German Shepherd","Black / Brown","Yes / Male","5063","Inactive","1/29/2014 10:53:38 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10377","A16242604","Tutty","5/20/2007","Dog","Shih Tzu / Mix","Black / White","Yes / Female","5045","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10380","A16351299","Luke Perry","6/2/2009","Dog","Lhasa Apso / Mix","Tan","Yes / Male","5189","Inactive","5/18/2014 4:04:17 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10383","A17183204","Max","9/10/2010","Dog","Terrier, Pit Bull / Mix","Brown / White","Yes / Male","5604","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10386","A17282259","Bohdi","9/22/2001","Dog","Welsh Corgi, Pembroke / Mix","Red / White","Yes / Male","5644","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10389","A17055320","Simba","8/28/2003","Dog","Collie, Smooth / Beagle","Brown / Brown","No / Male","5439","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10392","A17063863","Remy","8/24/2003","Dog","Canaan / Mix","Black / White","Yes / Male","5436","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10395","A17048434","Joey","8/23/2006","Dog","Chihuahua, Short Coat / Mix","Brown","No / Male","5434","Inactive","1/16/2014 10:50:28 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10398","A17003846","Neela","8/17/2010","Dog","Terrier, Pit Bull","Grey / White","Yes / Female","5462","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10401","A19403000","Daisy","1/1/2002","Dog","Dalmatian / Mix","Black / White","Yes / Female","3074","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10404","A19403759","Jake","","Dog","Retriever, Labrador / Mix","Brown","Yes / Male","3092","Inactive","1/27/2014 11:06:28 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10407","A19403904","Deputy","","Dog","Xoloitzcuintli / Mix","Black / Tan","Yes / Male","3095","Inactive","1/9/2014 12:21:57 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10410","A19403970","Mattie","","Dog","Chihuahua, Short Coat","White / Brown","Yes / Female","2433","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10413","A19403997","Camara","2/6/2006","Dog","Beagle / Mix","Black / Tan","Yes / Female","3096","Inactive","8/1/2013 9:39:49 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10416","A19404206","Coco","3/13/2009","Dog","Border Collie / Beagle","Black / White","Yes / Female","2439","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10419","A19552628","Blaine","3/1/2008","Dog","German Shepherd","Tan / Black","Yes / Male","0397","Inactive","3/31/2014 12:49:06 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10422","A19554532","Loki","","Dog","Border Collie / Mix","Black / White","Yes / Male","1280","Inactive","4/18/2014 2:19:14 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10425","A19554891","Minnie","4/1/1998","Dog","Terrier, Jack Russell / Mix","White / Brown","Yes / Female","1788","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10428","A19559678","Safa","2/28/2010","Dog","Xoloitzcuintli / Mix","Tan","Yes / Female","2160","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10431","A19564619","Seamus","","Dog","Xoloitzcuintli / Mix","Black","Yes / Male","0472","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10434","A19560150","Fenway","9/3/2011","Dog","Shiba Inu","White","Yes / Female","1876","Inactive","4/1/2014 11:02:42 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10437","A19609977","Bongo","","Dog","Xoloitzcuintli / Mix","Tan","Yes / Male","0131","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10440","A19555637","Kilo","4/1/2007","Dog","Terrier, Jack Russell / Bulldog, American","White","Yes / Male","2426","Inactive","1/7/2014 3:39:50 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","12/26/2013","12/26/2016",""
"10443","A19429850","Dakota","6/1/2004","Dog","Retriever, Labrador / Mix","Yellow","Yes / Female","2202","Inactive","1/2/2014 3:19:26 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","7/6/2013","7/5/2016",""
"10446","A19396633","Jake","3/12/2003","Dog","Hound / Mix","Red / Brown","Yes / Male","3460","Inactive","8/24/2013 5:35:33 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","3/16/2010","",""
"10449","A19234939","Foxy","8/7/2009","Dog","Pomeranian / Mix","Red / Brown","Yes / Female","1868","Inactive","3/20/2014 12:21:28 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","8/28/2013","8/28/2016",""
"10452","A19429889","Oscar","","Dog","Retriever, Golden","Yellow","Yes / Male","2212","Inactive","4/5/2014 2:45:32 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","8/26/2014","3/12/2017",""
"10455","A19266395","Shluffy","5/29/2003","Dog","Havanese / Mix","Black / White","No / Male","2170","Inactive","7/23/2014 2:38:31 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","5/21/2014","5/1/2017",""
"10458","A19396583","Sasha","","Dog","Boxer / Mix","Fawn","Yes / Female","3459","Inactive","8/24/2013 5:46:49 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","8/3/2011","",""
"10461","A19248299","Easy Peasy","8/27/2012","Dog","Terrier, Pit Bull / Mix","Tan / Brindle","Yes / Male","4394","Expired","4/27/2016 1:00:00 AM","Dog License S/N","WHS-WARL","$15.00","","6/30/2013","No","","","",""
"10464","A19246374","","6/27/2012","Dog","Australian Shepherd / Mix","Black / White","Yes / Female","4345","Expired","4/27/2016 1:00:00 AM","Dog License S/N","WHS-WARL","$15.00","","6/30/2013","No","","","",""
"10467","A19247948","Zoe","","Dog","Lhasa Apso / Mix","Grey","Yes / Female","2068","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10470","A19249903","Bennet","12/26/2010","Dog","Retriever, Golden / Mix","Cream","Yes / Male","2077","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10473","A19208423","Duke","1/1/2003","Dog","Shepherd / Mix","Brown","Yes / Male","1576","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10476","A19215958","Leelu","8/23/2005","Dog","Chinese Shar-Pei / Retriever, Labrador","Red / Tan","Yes / Female","1723","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10479","A16583111","Seven","12/27/2008","Dog","Retriever, Labrador / Mix","Black / White","Yes / Male","5206","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10482","A16610019","Michael","6/30/2011","Dog","Cane Corso / Terrier, Pit Bull","Tan / Brindle","Yes / Male","5225","Expired","6/22/2013 7:15:55 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10485","A16627450","Blue","7/3/2011","Dog","Terrier, Pit Bull / Mix","Blue","Yes / Male","5247","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10488","A16317717","Elsa","8/30/2011","Dog","Terrier / Mix","Brown / White","No / Female","5198","Inactive","1/24/2014 3:46:31 PM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10491","A16414934","Rach","6/9/2008","Dog","Terrier / Mix","White / Brown","Yes / Female","5233","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10494","A16420397","Lola","6/17/2008","Dog","Terrier, Pit Bull / Mix","Black / White","No / Female","5154","Cancelled (Left jurisdiction)","5/23/2013 12:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10497","A19241418","Pecan","2/26/2011","Dog","Miniature Pinscher","Black / Tan","Yes / Male","4327","Expired","4/27/2016 1:00:00 AM","Dog License S/N","WHS-WARL","$15.00","","6/30/2013","No","","","",""
"10500","A19242543","Quincy","","Dog","German Shepherd / Mix","Black / Tan","Yes / Male","2020","Inactive","1/27/2014 11:09:16 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10503","A19243754","Paisley","2/26/2011","Dog","Terrier, Pit Bull / Mix","White / Black","Yes / Female","4337","Expired","4/27/2016 1:00:00 AM","Dog License S/N","WHS-WARL","$15.00","","6/30/2013","No","","","",""
"10506","A19218729","Phebe Wolff","2/22/2008","Dog","Retriever, Labrador / Mix","Black","Yes / Female","1738","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10509","A19229700","Lulu","2/24/2004","Dog","Maltese / Mix","White","No / Female","5754","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10512","A19246355","Rosie","","Dog","Retriever, Labrador / Mix","Brown / White","Yes / Female","2037","Inactive","4/18/2014 4:29:53 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10515","A19246387","Quirky","2/27/2007","Dog","Shepherd / Pudelpointer","Tan","Yes / Female","4346","Expired","4/27/2016 1:00:00 AM","Dog License S/N","WHS-WARL","$15.00","","6/30/2013","No","","","",""
"10518","A19405810","Rusty","","Dog","Spaniel, American Cocker / Poodle, Standard","Buff","Yes / Male","2460","Inactive","1/17/2014 11:21:54 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10521","A19396884","Scarlet","3/12/2011","Dog","Retriever, Labrador / Mix","Black","Yes / Female","3466","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10524","A19405867","TJ","1/26/2010","Dog","Retriever, Labrador / Mix","Black / White","Yes / Male","2470","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10527","A19408314","Bella","2/14/2002","Dog","Pomeranian","Buff / White","Yes / Female","3077","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10530","A19429874","Nina","","Dog","Coonhound, Bluetick","Black / Tan","Yes / Female","2207","Inactive","4/18/2014 2:52:06 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10533","A19429901","Mack","","Dog","Beagle","Black / White","Yes / Male","2216","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10536","A19538758","Harper","","Dog","Bulldog, English / Mix","White / Brindle","Yes / Female","1807","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10539","A19536173","Emmitt","9/28/2011","Dog","Retriever, Labrador / Mix","Fawn","Yes / Male","4145","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10542","A19551256","Sassy","4/1/2010","Dog","Poodle, Miniature / Mix","Black","Yes / Female","1470","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10545","A19538415","Martin","","Dog","Coonhound, Treeing Walker / Mix","Black","Yes / Male","0446","Inactive","4/5/2014 1:10:01 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10548","A19527953","Chip","3/28/2012","Dog","Hound / Mix","Butterscotch / Brindle","Yes / Male","4144","Expired","4/27/2016 1:00:00 AM","Dog License S/N","Washington Humane Society","$15.00","","6/30/2013","No","","","",""
"10551","A19485869","Lucky","7/7/2006","Dog","Terrier, West Highland White","White","Yes / Male","0345","Inactive","1/7/2014 3:38:45 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10554","A19216728","Ruby","5/30/2009","Dog","Border Collie / Mix","Black / White","Yes / Female","1728","Inactive","12/23/2013 11:31:35 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10557","A19219602","Zoya","2/22/2003","Dog","Beagle / Mix","Brown / White","Yes / Female","1745","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10560","A19230817","Darshan","2/25/2005","Dog","Terrier, Jack Russell / Mix","White / Tan","Yes / Male","1764","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10563","A19208589","Pink","","Dog","Spaniel, American Cocker / Mix","White / Brown","Yes / Female","1577","Inactive","3/20/2014 12:01:31 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10566","A19190807","Gemma","9/15/2007","Dog","Retriever, Labrador / Mix","Black","Yes / Female","1379","Inactive","1/17/2014 11:36:59 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10569","A19191141","Angel","2/19/2011","Dog","Retriever, Labrador / Mix","Black","No / Female","1387","Inactive","8/9/2013 10:28:34 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10572","A19158868","Allie","2/15/2011","Dog","Border Collie / Mix","Brown / Black","Yes / Female","1318","Expired","2/15/2013 12:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","2/15/2013","No","","","",""
"10575","A19246596","Michio","10/1/2008","Dog","Mastiff / Mix","Brindle / White","Yes / Male","2048","Inactive","3/20/2014 12:05:53 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","10/19/2013","10/19/2016",""
"10578","A19146138","Pora","11/6/2005","Dog","German Shepherd / Mix","Black","Yes / Female","1174","Inactive","8/21/2014 3:50:44 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","5/30/2014","5/30/2017",""
"10581","A19146188","Barkry","5/17/2004","Dog","German Shepherd / Mix","Brown","Yes / Male","1176","Inactive","8/21/2014 3:48:05 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","LIC Rabies","5/30/2014","5/30/2017",""
"10584","A19123703","Piglet","3/1/2011","Dog","Terrier / Mix","White / Brown","Yes / Female","4132","Inactive","9/19/2013 3:34:17 PM","Dog License S/N","Washington Humane Society","$15.00","","6/30/2013","No","LIC Rabies","7/17/2013","7/17/2016",""
"10587","A18769649","Cheddar","12/20/2009","Dog","Terrier, Manchester","Black / Brown","No / Male","5793","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10590","A17346399","Romie","10/8/2004","Dog","Terrier, Yorkshire / Mix","Silver Black / Tan","Yes / Male","5625","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"10593","A17254536","Mikey","1/18/2012","Dog","Vizsla, Smooth Haired / Mix","Tan","Yes / Male","5309","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"10596","A19161861","Maxie","2/15/2006","Dog","Dachshund, Standard Smooth Haired / Mix","Red","Yes / Male","1347","Inactive","3/24/2014 11:37:05 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10599","A19159185","Jade","2/15/2009","Dog","Mastiff / Mix","Brown","Yes / Female","1323","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10602","A19191575","Rocky","","Dog","Xoloitzcuintli / Mix","Grey","Yes / Male","1398","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10605","A19251088","Melpomeme","2/27/2010","Dog","German Shepherd","Black","Yes / Male","4644","Expired","4/27/2016 1:00:00 AM","Dog License S/N","National Capital Area Spay and Neuter Center","$15.00","","6/30/2013","No","","","",""
"10608","A19251573","Loretta","8/1/2007","Dog","German Shepherd / Siberian Husky","Black / Tan","Yes / Female","2093","Inactive","12/17/2013 12:08:36 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10611","A19429933","Tucker","","Dog","Bichon Frise","White","Yes / Male","2231","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10614","A19430065","Emmie","","Dog","Siberian Husky","Black / White","Yes / Female","2280","Inactive","12/17/2013 2:44:25 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10617","A19430067","Boo","6/1/2003","Dog","Shih Tzu / Mix","White / Beige","Yes / Male","2281","Inactive","1/2/2014 3:09:23 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10620","A19435647","Wilson","","Dog","Terrier, Fox, Wire","Black / Brown","Yes / Male","3171","Inactive","4/28/2014 11:34:08 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10623","A19435847","Taz","8/1/2005","Dog","Basset Hound","Brown / Black","Yes / Female","3179","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10626","A19436015","Minnie","","Dog","Greyhound","Black","Yes / Female","3191","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10629","A19436090","Toto","7/28/2010","Dog","Shih Tzu","White / Brown","Yes / Male","3196","Inactive","5/28/2014 4:10:30 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10632","A19441731","Simba","","Dog","Retriever, Golden","Tan","Yes / Female","2039","Inactive","4/14/2014 12:09:46 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10635","A17884239","Pele","5/14/2010","Dog","Retriever, Golden / Poodle, Standard","Tan","Yes / Male","5669","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"10638","A17924033","Doodle","11/17/2009","Dog","Coonhound, Redbone","Red / Brown","Yes / Male","5574","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"10641","A13816666","Honey","8/13/2010","Dog","Terrier, Pit Bull / Mix","Black","Yes / Female","5286","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10644","A17072215","Shamp","8/26/2005","Dog","Shih Tzu / Mix","Tan / Black","No / Male","5456","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10647","A13549023","Sugar","7/11/1998","Dog","Chow Chow / Shepherd","Tan / Brown","Yes / Female","5289","Expired","6/30/2012 12:00:00 AM","Dog License S/N","DCAC/CSC","$15.00","","6/30/2012","No","","","",""
"10650","A16534314","Dusty Kurtz","6/23/1996","Dog","Basenji / Mix","Brown / Grey","Yes / Female","5143","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10653","A16840586","Bam Bam","4/28/2012","Dog","German Shepherd / Mix","Black / Brown","Yes / Male","5386","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"10656","A16909935","Homer","8/6/2009","Dog","Terrier, Pit Bull / Rhodesian Ridgeback","Fawn","Yes / Male","5423","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10659","A17059986","Zak","8/24/2010","Dog","Retriever, Golden","Golden","Yes / Unknown","5435","Inactive","8/24/2013 3:45:34 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10662","A16941762","Duchess","2/7/2010","Dog","Terrier, West Highland White","White","Yes / Female","5638","Inactive","2/12/2014 10:45:04 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10665","A19441901","Riggins","3/19/2011","Dog","Bulldog, American / Mix","White","Yes / Male","1890","Inactive","3/20/2014 11:46:27 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
